Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
 7888   Cephalopyrus flammiceps   Fire-capped Tit             Brandkronad mes
 7889                             Paridae, Mesar
 7890   Parus   palustris         Marsh Tit                   Entita
 7891   Parus   hypermelaenus     Black-bibbed Tit            Sikangtita
 7892   Parus   lugubris          Sombre Tit                  Balkanmes
 7893   Parus   hyrcanus          Caspian Tit                 Hyrkanmes
 7894   Parus   montanus          Willow Tit                  Talltita
 7895   Parus   songarus          Songar Tit                  Songarmes
 7896   Parus   atricapillus      Black-capped Chickadee      Amerikansk talltita
 7897   Parus   carolinensis      Carolina Chickadee          Karolinatita
 7898   Parus   sclateri          Mexican Chickadee           Mexikansk tita
 7899   Parus   gambeli           Mountain Chickadee          Bergtita
 7900   Parus   superciliosus     White-browed Tit            Vitbrynad mes
 7901   Parus   davidi            Rusty-breasted Tit          Sichuanmes
 7902   Parus   cinctus           Siberian Tit                Lappmes
 7903   Parus   hudsonicus        Boreal Chickadee            Hudsontita
 7904   Parus   rufescens         Chestnut-backed Chickadee   Rostmes
 7905   Parus   wollweberi        Bridled Titmouse            Sonoratofsmes
 7906   Parus   rubidiventris     Rufous-vented Tit           Östlig simlames
 7907   Parus   rufonuchalis      Rufous-naped Tit            Västlig simlames
 7908   Parus   melanolophus      Black-crested Tit           Himalayasvartmes
 7909   Parus   ater              Coal Tit                    Svartmes
 7910   Parus   venustulus        Yellow-bellied Tit          Mandarinmes
 7911   Parus   elegans           Elegant Tit                 Praktmes
 7912   Parus   amabilis          Palawan Tit                 Palawanmes
 7913   Parus   cristatus         Crested Tit                 Tofsmes
 7914   Parus   dichrous          Grey-crested Tit            Grå tofsmes
 7915   Parus   afer              Southern Grey Tit           Sydlig gråmes
 7916   Parus   cinerascens       Ashy Tit                    Akaciames
 7917   Parus   thruppi           Acacia Tit                  Somalimes
 7918   Parus   griseiventris     Miombo Tit                  Miombomes
 7919   Parus niger             Southern Black Tit         Afrikansk svartmes
 7920   Parus carpi             Carp's Tit                 Carps svartmes
 7921   Parus guineensis        White-shouldered Tit       Guineames
 7922   Parus leucomelas        White-winged Tit           Vitvingad mes
 7923   Parus albiventris       White-bellied Tit          Vitbukad mes
 7924   Parus leuconotus        White-backed Tit           Vitryggad mes
 7925   Parus funereus          Dusky Tit                  Skiffermes
 7926   Parus fasciiventer      Stripe-breasted Tit        Ruwenzorimes
 7927   Parus fringillinus      Red-throated Tit           Finkmes
 7928   Parus rufiventris       Rufous-bellied Tit         Rostbukad mes
 7929   Parus pallidiventris    Cinnamon-breasted Tit      Kanelmes
 7930   Parus major             Great Tit                  Talgoxe
 7931   Parus bokharensis       Turkestan Tit              Turkestanmes
 7932   Parus monticolus        Green-backed Tit           Orienttalgoxe
 7933   Parus nuchalis          White-naped Tit            Vitnackad mes
 7934   Parus xanthogenys       Black-lored Tit            Västlig gyllenmes
 7935   Parus spilonotus        Yellow-cheeked Tit         Östlig gyllenmes
 7936   Parus holsti            Yellow Tit                 Gulmes
 7937   Parus caeruleus         Blue Tit                   Blåmes
 7938   Parus teneriffae        African Blue-Tit           Koboltmes
 7939   Parus cyanus            Azure Tit                  Azurmes
 7940   Parus flavipectus       Yellow-breasted Tit        Gulbröstad mes
 7941   Parus varius            Varied Tit                 Samurajmes
 7942   Parus semilarvatus      White-fronted Tit          Vitpannad mes
 7943   Parus inornatus         Oak Titmouse               Kalifornisk gråmes
 7944   Parus ridgwayi          Juniper Titmouse           Tallgråmes
 7945   Parus bicolor           Tufted Titmouse            Östlig gråmes
 7946   Parus atricristatus     Black-crested Titmouse     Svartkronad gråmes
 7947   Melanochlora sultanea   Sultan Tit                 Sultanmes
 7948   Sylviparus modestus     Yellow-browed Tit          Grönmes
 7949                           Sittidae, Nötväckor
 7950   Sitta europaea          Eurasian Nuthatch          Nötväcka
 7951   Sitta nagaensis         Chestnut-vented Nuthatch   Naganötväcka
 7952   Sitta   castanea          Chestnut-bellied Nuthatch          Kastanjenötväcka
 7953   Sitta   cashmirensis      Kashmir Nuthatch                   Kashmirnötväcka
 7954   Sitta   himalayensis      White-tailed Nuthatch              Vitstjärtad nötväcka
 7955   Sitta   victoriae         White-browed Nuthatch              Burmanötväcka
 7956   Sitta   pygmaea           Pygmy Nuthatch                     Dvärgnötväcka
 7957   Sitta   pusilla           Brown-headed Nuthatch              Brunhuvad nötväcka
 7958   Sitta   whiteheadi        Corsican Nuthatch                  Korsikansk nötväcka
 7959   Sitta   yunnanensis       Yunnan Nuthatch                    Yunnannötväcka
 7960   Sitta   canadensis        Red-breasted Nuthatch              Rödbröstad nötväcka
 7961   Sitta   villosa           Chinese Nuthatch                   Kinesisk nötväcka
 7962   Sitta   leucopsis         White-cheeked Nuthatch             Vitkindad nötväcka
 7963   Sitta   carolinensis      White-breasted Nuthatch            Vitbröstad nötväcka
 7964   Sitta   krueperi          Krueper's Nuthatch                 Krüpers nötväcka
 7965   Sitta   ledanti           Algerian Nuthatch                  Kabylnötväcka
 7966   Sitta   neumayer          Western Rock Nuthatch              Klippnötväcka
 7967   Sitta   tephronota        Eastern Rock Nuthatch              Östlig klippnötväcka
 7968   Sitta   frontalis         Velvet-fronted Nuthatch            Rödnäbbad nötväcka
 7969   Sitta   oenochlamys       Sulphur-billed Nuthatch            Filippinnötväcka
 7970   Sitta   solangiae         Yellow-billed Nuthatch             Gulnäbbad nötväcka
 7971   Sitta   azurea            Blue Nuthatch                      Blånötväcka
 7972   Sitta   magna             Giant Nuthatch                     Jättenötväcka
 7973   Sitta   formosa           Beautiful Nuthatch                 Praktnötväcka
 7974                             Tichodromadidae, Murkrypare
 7975   Tichodroma muraria        Wallcreeper                        Murkrypare
 7976                             Certhiidae, Trädkrypare
 7977   Certhia   familiaris      Eurasian Tree-Creeper              Trädkrypare
 7978   Certhia   americana       American Tree-Creeper              Amerikansk trädkrypare
 7979   Certhia   brachydactyla   Short-toed Tree-Creeper            Trädgårdsträdkrypare
 7980   Certhia   himalayana      Bar-tailed Tree-Creeper            Himalayaträdkrypare
 7981   Certhia   nipalensis      Rusty-flanked Tree-Creeper         Nepalträdkrypare
 7982   Certhia   discolor        Brown-throated Tree-Creeper        Brunstrupig trädkrypare
 7983   Certhia   tianquanensis   Sichuan Tree-Creeper               Sichuanträdkrypare
 7984                             Salpornithidae, Fläckträdkrypare
 7985   Salpornis spilonotus          Spotted Creeper                    Fläckträdkrypare
 7986                                 Rhabdornithidae, Filippinkrypare
 7987   Rhabdornis mystacalis         Stripe-sided Rhabdornis            Vitbröstad filippinkrypare
 7988   Rhabdornis inornatus          Stripe-breasted Rhabdornis         Brunnackad filippinkrypare
 7989   Rhabdornis grandis            Long-billed Rhabdornis             Långnäbbad filippinkrypare
 7990                                 Climacteridae, Australkrypare
 7991   Daphoenositta chrysoptera     Varied Sittella                    Broksitella
 7992   Daphoenositta miranda         Black Sittella                     Svart sitella
 7993   Daphoenositta papuensis       Papuan Sittella                    Papuasitella
 7994   Climacteris erythrops         Red-browed Treecreeper             Rödbrynad australkrypare
 7995   Climacteris affinis           White-browed Treecreeper           Vitbrynad australkrypare
 7996   Climacteris picumnus          Brown Treecreeper                  Brun australkrypare
 7997   Climacteris rufus             Rufous Treecreeper                 Rostfärgad australkrypare
 7998   Climacteris melanurus         Black-tailed Treecreeper           Svartstjärtad australkrypare
 7999   Cormobates leucophaea         White-throated Treecreeper         Vitstrupig australkrypare
 8000   Cormobates placens            Papuan Treecreeper                 Papuansk australkrypare
 8001                                 Dicaeidae, Blomsterpickare
 8002   Melanocharis arfakiana        Obscure Berrypecker                Arfakbärpickare
 8003   Melanocharis nigra            Black Berrypecker                  Svart bärpickare
 8004   Melanocharis longicauda       Mid-mountain Berrypecker           Blåryggad bärpickare
 8005   Melanocharis versteri         Fan-tailed Berrypecker             Solfjäderstjärtsbärpickare
 8006   Melanocharis striativentris   Streaked Berrypecker               Strimmig bärpickare
 8007   Rhamphocharis crassirostris   Spotted Berrypecker                Tjocknäbbad bärpickare
 8008   Prionochilus olivaceus        Olive-backed Flowerpecker          Olivryggad blomsterpickare
 8009   Prionochilus maculatus        Yellow-breasted Flowerpecker       Gulbröstad blomsterpickare
 8010   Prionochilus percussus        Crimson-breasted Flowerpecker      Karminbröstad blomsterpickare
 8011   Prionochilus plateni          Palawan Flowerpecker               Palawanblomsterpickare
 8012   Prionochilus xanthopygius     Yellow-rumped Flowerpecker         Borneoblomsterpickare
 8013   Prionochilus thoracicus       Scarlet-breasted Flowerpecker      Scharlakanblomsterpickare
 8014   Dicaeum annae                 Golden-rumped Flowerpecker         Sundablomsterpickare
 8015   Dicaeum agile                 Thick-billed Flowerpecker          Tjocknäbbad blomsterpickare
 8016   Dicaeum everetti              Brown-backed Flowerpecker          Brunryggad blomsterpickare
 8017   Dicaeum aeruginosum           Striped Flowerpecker               Strimmig blomsterpickare
 8018   Dicaeum   proprium          Whiskered Flowerpecker          Sepiabukad blomsterpickareö
 8019   Dicaeum   chrysorrheum      Yellow-vented Flowerpecker      Gulgumpad blomsterpickare
 8020   Dicaeum   melanoxanthum     Yellow-bellied Flowerpecker     Gulbukad blomsterpickare
 8021   Dicaeum   vincens           White-throated Flowerpecker     Sri Lankablomsterpickare
 8022   Dicaeum   aureolimbatum     Yellow-sided Flowerpecker       Gulflankad blomsterpickare
 8023   Dicaeum   nigrilore         Olive-capped Flowerpecker       Mindanaoblomsterpickare
 8024   Dicaeum   anthonyi          Flame-crowned Flowerpecker      Orangekronad blomsterpickare
 8025   Dicaeum   bicolor           Bicolored Flowerpecker          Svartvit blomsterpickare
 8026   Dicaeum   quadricolor       Cebu Flowerpecker               Cebublomsterpickare
 8027   Dicaeum   australe          Red-striped Flowerpecker        Rödbukad blomsterpickare
 8028   Dicaeum   haematostictum    Visayan Flowerpecker            Panayblomsterpickare
 8029   Dicaeum   retrocinctum      Scarlet-collared Flowerpecker   Mindoroblomsterpickare
 8030   Dicaeum   trigonostigma     Orange-bellied Flowerpecker     Orangebukad blomsterpickare
 8031   Dicaeum   hypoleucum        Buzzing Flowerpecker            Filippinsk blomsterpickare
 8032   Dicaeum   erythrorhynchos   Pale-billed Flowerpecker        Bleknäbbad blomsterpickare
 8033   Dicaeum   concolor          Plain Flowerpecker              Enfärgad blomsterpickare
 8034   Dicaeum   pygmaeum          Pygmy Flowerpecker              Dvärgblomsterpickare
 8035   Dicaeum   nehrkorni         Crimson-crowned Flowerpecker    Kungsblomsterpickare
 8036   Dicaeum   vulneratum        Ashy Flowerpecker               Ceramblomsterpickare
 8037   Dicaeum   erythrothorax     Flame-breasted Flowerpecker     Moluckblomsterpickare
 8038   Dicaeum   pectorale         Olive-crowned Flowerpecker      Vogelkopblomsterpickare
 8039   Dicaeum   eximium           Bismarck Flowerpecker           Bismarckblomsterpickare
 8040   Dicaeum   aeneum            Midget Flowerpecker             Salomonblomsterpickare
 8041   Dicaeum   tristrami         San Cristobal Flowerpecker      Makirablomsterpickare
 8042   Dicaeum   igniferum         Black-fronted Flowerpecker      Flamblomsterpickare
 8043   Dicaeum   maugei            Red-chested Flowerpecker        Wallaceablomsterpickare
 8044   Dicaeum   hirundinaceum     Mistletoebird                   Mistelpickare
 8045   Dicaeum   celebicum         Grey-sided Flowerpecker         Sulawesiblomsterpickare
 8046   Dicaeum   monticolum        Black-sided Flowerpecker        Bergsblomsterpickare
 8047   Dicaeum   ignipectum        Fire-breasted Flowerpecker      Orientblomsterpickare
 8048   Dicaeum   sanguinolentum    Blood-breasted Flowerpecker     Blodbröstblomsterpickare
 8049   Dicaeum   cruentatum        Scarlet-backed Flowerpecker     Rödryggad blomsterpickare
 8050   Dicaeum   trochileum        Scarlet-headed Flowerpecker     Kardinalblomsterpickare
 8051   Dicaeum geelvinkianum       Red-capped Flowerpecker         Rödkronad blomsterpickare
 8052   Dicaeum nitidum             Louisiade Flowerpecker          Louisiadblomsterpickare
 8053   Oreocharis arfaki           Tit Berrypecker                 Mesbärpickare
 8054   Paramythia montium          Crested Berrypecker             Tofsbärpickare
 8055                               Pardalotidae, Pardaloter
 8056   Pardalotus   quadragintus   Forty-spotted Pardalote         Tasmanpardalote
 8057   Pardalotus   punctatus      Spotted Pardalote               Fläckig pardalote
 8058   Pardalotus   rubricatus     Red-browed Pardalote            Rödbrynad pardalote
 8059   Pardalotus   striatus       Striated Pardalote              Strimmig pardalote
 8060                               Nectariniidae, Solfåglar
 8061   Deleornis fraseri           Scarlet-tufted Sunbird          Rödtofsad solfågel
 8062   Deleornis axillaris         Grey-headed Sunbird             Gråhuvad solfågel
 8063   Chalcoparia singalensis     Ruby-cheeked Sunbird            Rubinkindad solfågel
 8064   Anthreptes gabonicus        Mouse-brown Sunbird             Brun solfågel
 8065   Anthreptes reichenowi       Plain-backed Sunbird            Reichenows solfågel
 8066   Anthreptes anchietae        Anchieta's Sunbird              Anchietasolfågel
 8067   Anthreptes simplex          Plain Sunbird                   Enfärgad solfågel
 8068   Anthreptes malacensis       Plain-throated Sunbird          Brunstrupig solfågel
 8069   Anthreptes rhodolaemus      Red-throated Sunbird            Rödstrupig solfågel
 8070   Anthreptes longuemarei      Western Violet-backed Sunbird   Västlig violettryggad solfågel
 8071   Anthreptes orientalis       Kenya Violet-backed Sunbird     Östlig violettryggad solfågel
 8072   Anthreptes neglectus        Uluguru Violet-backed Sunbird   Kustsolfågel
 8073   Anthreptes aurantium        Violet-tailed Sunbird           Lilastjärtad solfågel
 8074   Anthreptes seimundi         Little Green Sunbird            Seimunds solfågel
 8075   Anthreptes rectirostris     Green Sunbird                   Grön solfågel
 8076   Anthreptes rubritorques     Banded Sunbird                  Rödbandad solfågel
 8077   Hedydipna pallidigaster     Amani Sunbird                   Amanisolfågel
 8078   Hedydipna collaris          Collared Sunbird                Halsbandssolfågel
 8079   Hedydipna platura           Pygmy Sunbird                   Pygmésolfågel
 8080   Hedydipna metallica         Nile Valley Sunbird             Nilsolfågel
 8081   Hypogramma hypogrammicum    Purple-naped Sunbird            Violettnackad solfågel
 8082   Anabathmis reichenbachii    Reichenbach's Sunbird           Reichenbachs solfågel
 8083   Anabathmis hartlaubii       Principe Sunbird                Principesolfågel
 8084   Anabathmis newtonii        Newton's Sunbird              Newtons solfågel
 8085   Dreptes thomensis          São Tomé Sunbird              Jättesolfågel
 8086   Cyanomitra olivacea        Eastern Olive Sunbird         Östlig olivsolfågel
 8087   Cyanomitra obscura         Western Olive Sunbird         Västlig olivsolfågel
 8088   Cyanomitra veroxii         Mouse-coloured Sunbird        Grå solfågel
 8089   Cyanomitra oritis          Cameroon Sunbird              Kamerunsolfågel
 8090   Cyanomitra alinae          Blue-headed Sunbird           Blåhuvad solfågel
 8091   Cyanomitra bannermani      Bannerman's Sunbird           Bannermans solfågel
 8092   Cyanomitra verticalis      Green-headed Sunbird          Grönhuvad solfågel
 8093   Cyanomitra cyanolaema      Blue-throated Brown Sunbird   Blåstrupig solfågel
 8094   Chalcomitra balfouri       Socotra Sunbird               Sokotrasolfågel
 8095   Chalcomitra fuliginosa     Carmelite Sunbird             Karmelitsolfågel
 8096   Chalcomitra rubescens      Green-throated Sunbird        Grönstrupig solfågel
 8097   Chalcomitra amethystina    Amethyst Sunbird              Ametistsolfågel
 8098   Chalcomitra senegalensis   Scarlet-chested Sunbird       Rödbröstad solfågel
 8099   Chalcomitra hunteri        Hunter's Sunbird              Hunters solfågel
 8100   Chalcomitra adelberti      Buff-throated Sunbird         Beigebröstad solfågel
 8101   Leptocoma zeylonica        Purple-rumped Sunbird         Violettgumpad solfågel
 8102   Leptocoma minima           Crimson-backed Sunbird        Karmosinryggad solfågel
 8103   Leptocoma sperata          Purple-throated Sunbird       Purpurstrupig solfågel
 8104   Leptocoma sericea          Black Sunbird                 Sorgsolfågel
 8105   Leptocoma pectoralis       Copper-throated Sunbird       Kopparstrupig solfågel
 8106   Cinnyris batesi            Bates's Sunbird               Batessolfågel
 8107   Cinnyris ursulae           Ursula's Sunbird              Ursulasolfågel
 8108   Cinnyris dussumieri        Seychelles Sunbird            Seychellsolfågel
 8109   Cinnyris lotenius          Long-billed Sunbird           Långnäbbad solfågel
 8110   Cinnyris jugularis         Olive-backed Sunbird          Olivryggad solfågel
 8111   Cinnyris buettikoferi      Apricot-breasted Sunbird      Sumbasolfågel
 8112   Cinnyris solaris           Flame-breasted Sunbird        Flambröstad solfågel
 8113   Cinnyris asiaticus         Purple Sunbird                Purpursolfågel
 8114   Cinnyris sovimanga         Souimanga Sunbird             Sovimangasolfågel
 8115   Cinnyris humbloti          Humblot's Sunbird             Humblotsolfågel
 8116   Cinnyris comorensis        Anjouan Sunbird               Anjouansolfågel
 8117   Cinnyris   coquerellii     Mayotte Sunbird                       Mayottesolfågel
 8118   Cinnyris   venustus        Variable Sunbird                      Charmsolfågel
 8119   Cinnyris   talatala        White-breasted Sunbird                Vitbukad solfågel
 8120   Cinnyris   oustaleti       Oustalet's Sunbird                    Oustaletsolfågel
 8121   Cinnyris   fuscus          Dusky Sunbird                         Svartvit solfågel
 8122   Cinnyris   chalybeus       Lesser Double-collared Sunbird        Sydlig dubbelbandad solfågel
 8123   Cinnyris   manoensis       Miombo Double-collared Sunbird        Miombosolfågel
 8124   Cinnyris   afer            Greater Double-collared Sunbird       Större dubbelbandad solfågel
 8125   Cinnyris   stuhlmanni      Stuhlmann's Double-collared Sunbird   Stuhlmannsolfågel
 8126   Cinnyris   ludovicensis    Ludwig's Double-collared Sunbird      Angolasolfågel
 8127   Cinnyris   prigoginei      Prigogine's Double-collared Sunbird   Prigogines solfågel
 8128   Cinnyris   reichenowi      Northern Double-collared Sunbird      Nordlig dubbelbandad solfågel
 8129   Cinnyris   mediocris       Eastern Double-collared Sunbird       Östlig dubbelbandad solfågel
 8130   Cinnyris   neergaardi      Neergaard's Sunbird                   Neergaards solfågel
 8131   Cinnyris   chloropygius    Olive-bellied Sunbird                 Olivbukad solfågel
 8132   Cinnyris   minullus        Tiny Sunbird                          Dvärgsolfågel
 8133   Cinnyris   regius          Regal Sunbird                         Kungssolfågel
 8134   Cinnyris   loveridgei      Loveridge's Sunbird                   Ulugurusolfågel
 8135   Cinnyris   moreaui         Moreau's Sunbird                      Moreausolfågel
 8136   Cinnyris   rockefelleri    Rockefeller's Sunbird                 Rockefellers solfågel
 8137   Cinnyris   habessinicus    Shining Sunbird                       Abessinsk solfågel
 8138   Cinnyris   bouvieri        Orange-tufted Sunbird                 Orangetofsad solfågel
 8139   Cinnyris   osea            Palestine Sunbird                     Palestinasolfågel
 8140   Cinnyris   cupreus         Copper Sunbird                        Kopparsolfågel
 8141   Cinnyris   fuelleborni     Forest Double-collared Sunbird        Fülleborns solfågel
 8142   Cinnyris   tsavoensis      Tsavo Sunbird                         Tsavosolfågel
 8143   Cinnyris   usambaricus     Usambara Double-collared Sunbird      Usambarasolfågel
 8144   Cinnyris   shelleyi        Shelley's Sunbird                     Shelleys solfågel
 8145   Cinnyris   mariquensis     Mariqua Sunbird                       Maricosolfågel
 8146   Cinnyris   pembae          Pemba Sunbird                         Pembasolfågel
 8147   Cinnyris   chalcomelas     Violet-breasted Sunbird               Violettbröstad solfågel
 8148   Cinnyris   bifasciatus     Purple-banded Sunbird                 Purpurbandad solfågel
 8149   Cinnyris   coccinigaster   Splendid Sunbird                      Regnbågssolfågel
 8150   Cinnyris erythrocerius       Red-chested Sunbird                Karmosinbröstad solfågel
 8151   Cinnyris congensis           Congo Sunbird                      Kongosolfågel
 8152   Cinnyris pulchellus          Beautiful Sunbird                  Smyckesolfågel
 8153   Cinnyris nectarinioides      Black-bellied Sunbird              Svartbukad solfågel
 8154   Cinnyris notatus             Madagascar Sunbird                 Madagaskarsolfågel
 8155   Cinnyris johannae            Johanna's Sunbird                  Johannasolfågel
 8156   Cinnyris superbus            Superb Sunbird                     Praktsolfågel
 8157   Cinnyris rufipennis          Rufous-winged Sunbird              Rödvingad solfågel
 8158   Anthobaphes violacea         Orange-breasted Sunbird            Orangebröstad solfågel
 8159   Nectarinia tacazze           Tacazze Sunbird                    Tacazzesolfågel
 8160   Nectarinia bocagii           Bocage's Sunbird                   Bocagesolfågel
 8161   Nectarinia purpureiventris   Purple-breasted Sunbird            Purpurbröstad solfågel
 8162   Nectarinia famosa            Malachite Sunbird                  Malakitsolfågel
 8163   Nectarinia johnstoni         Scarlet-tufted Malachite Sunbird   Rödtofsad malakitsolfågel
 8164   Nectarinia kilimensis        Bronze Sunbird                     Bronssolfågel
 8165   Drepanorhynchus reichenowi   Golden-winged Sunbird              Guldvingad solfågel
 8166   Aethopyga primigenia         Grey-hooded Sunbird                Mindanaosolfågel
 8167   Aethopyga boltoni            Apo Sunbird                        Aposolfågel
 8168   Aethopyga linaraborae        Lina's Sunbird                     Linasolfågel
 8169   Aethopyga flagrans           Flaming Sunbird                    Flamsolfågel
 8170   Aethopyga pulcherrima        Metallic-winged Sunbird            Smaragdvingad solfågel
 8171   Aethopyga duyvenbodei        Elegant Sunbird                    Sangihesolfågel
 8172   Aethopyga bella              Handsome Sunbird                   Guldstrupig Sangihesolfågel
 8173   Aethopyga shelleyi           Lovely Sunbird                     Malawisolfågel
 8174   Aethopyga gouldiae           Gould's Sunbird                    Goulds solfågel
 8175   Aethopyga nipalensis         Green-tailed Sunbird               Grönstjärtad solfågel
 8176   Aethopyga eximia             White-flanked Sunbird              Vitflankad solfågel
 8177   Aethopyga christinae         Fork-tailed Sunbird                Gaffelstjärtad solfågel
 8178   Aethopyga saturata           Black-throated Sunbird             Svartstrupig solfågel
 8179   Aethopyga siparaja           Crimson Sunbird                    Scharlakansolfågel
 8180   Aethopyga vigorsii           Western Crimson Sunbird            Ghatssolfågel
 8181   Aethopyga mystacalis         Scarlet Sunbird                    Javasolfågel
 8182   Aethopyga temminckii         Temminck's Sunbird                 Temmincks solfågel
 8183   Aethopyga ignicauda          Fire-tailed Sunbird             Eldstjärtad solfågel
 8184   Arachnothera longirostra     Little Spiderhunter             Mindre spindeljägare
 8185   Arachnothera crassirostris   Thick-billed Spiderhunter       Tjocknäbbad spindeljägare
 8186   Arachnothera robusta         Long-billed Spiderhunter        Långnäbbad spindeljägare
 8187   Arachnothera flavigaster     Spectacled Spiderhunter         Glasögonspindeljägare
 8188   Arachnothera chrysogenys     Yellow-eared Spiderhunter       Gulörad spindeljägare
 8189   Arachnothera clarae          Naked-faced Spiderhunter        Nakenkindad spindeljägare
 8190   Arachnothera affinis         Streaky-breasted Spiderhunter   Gråbröstad spindeljägare
 8191   Arachnothera magna           Streaked Spiderhunter           Streckad spindeljägare
 8192   Arachnothera modesta         Grey-breasted Spiderhunter      Borneospindeljägare
 8193   Arachnothera juliae          Whitehead's Spiderhunter        Whiteheads spindeljägare
 8194                                Zosteropidae, Glasögonfåglar
 8195   Zosterops   erythropleurus   Chestnut-flanked White-eye      Brunsidig glasögonfågel
 8196   Zosterops   japonicus        Japanese White-eye              Japansk glasögonfågel
 8197   Zosterops   meyeni           Lowland White-eye               Filippinsk glasögonfågel
 8198   Zosterops   palpebrosus      Oriental White-eye              Indisk glasögonfågel
 8199   Zosterops   ceylonensis      Ceylon White-eye                Ceylonglasögonfågel
 8200   Zosterops   rotensis         Rota White-eye                  Rotaglasögonfågel
 8201   Zosterops   saypani          Saipan Bridled White-eye        Saipanglasögonfågel
 8202   Zosterops   semperi          Caroline Islands White-eye      Karolinerglasögonfågel
 8203   Zosterops   hypolais         Plain White-eye                 Enfärgad glasögonfågel
 8204   Zosterops   salvadorii       Enggano White-eye               Engganoglasögonfågel
 8205   Zosterops   atricapilla      Black-capped White-eye          Maskglasögonfågel
 8206   Zosterops   everetti         Everett's White-eye             Everetts glasögonfågel
 8207   Zosterops   nigrorum         Golden-green White-eye          Gultyglad glasögonfågel
 8208   Zosterops   montanus         Mountain White-eye              Bergsglasögonfågel
 8209   Zosterops   wallacei         Yellow-spectacled White-eye     Sundaglasögonfågel
 8210   Zosterops   flavus           Javan White-eye                 Javaglasögonfågel
 8211   Zosterops   chloris          Lemon-bellied White-eye         Citronglasögonfågel
 8212   Zosterops   citrinella       Ashy-bellied White-eye          Blek glasögonfågel
 8213   Zosterops   consobrinorum    Pale-bellied White-eye          Sulawesiglasögonfågel
 8214   Zosterops   grayi            Pearl-bellied White-eye         Kaibesarglasögonfågel
 8215   Zosterops   uropygialis      Golden-bellied White-eye        Kaikecilglasögonfågel
 8216   Zosterops   anomalus        Lemon-throated White-eye     Citronstrupig glasögonfågel
 8217   Zosterops   atriceps        Creamy-throated White-eye    Moluckglasögonfågel
 8218   Zosterops   atrifrons       Black-crowned White-eye      Mörkhuvad glasögonfågel
 8219   Zosterops   stalkeri        Seram White-eye              Seramglasögonfågel
 8220   Zosterops   nehrkorni       Sangihe White-eye            Sangiheglasögonfågel
 8221   Zosterops   minor           Black-fronted White-eye      Papuansk glasögonfågel
 8222   Zosterops   meeki           Tagula White-eye             Tagulaglasögonfågel
 8223   Zosterops   hypoxanthus     Black-headed White-eye       Svarthuvad glasögonfågel
 8224   Zosterops   mysorensis      Biak White-eye               Biakglasögonfågel
 8225   Zosterops   fuscicapilla    Western Mountain White-eye   Sothuvad glasögonfågel
 8226   Zosterops   buruensis       Buru Yellow White-eye        Buruglasögonfågel
 8227   Zosterops   kuehni          Ambon Yellow White-eye       Ambonglasögonfågel
 8228   Zosterops   novaeguineae    New Guinea White-eye         Nya Guineaglasögonfågel
 8229   Zosterops   metcalfii       Yellow-throated White-eye    Salomonglasögonfågel
 8230   Zosterops   natalis         Christmas Island White-eye   Julöglasögonfågel
 8231   Zosterops   luteus          Yellow White-eye             Gul glasögonfågel
 8232   Zosterops   griseotinctus   Louisiades White-eye         Louisiadglasögonfågel
 8233   Zosterops   rennellianus    Rennell Island White-eye     Rennellglasögonfågel
 8234   Zosterops   rendovae        Grey-throated White-eye      Rendovaglasögonfågel
 8235   Zosterops   kulambangrae    Solomon Islands White-eye    Kulumbangraglasögonfågel
 8236   Zosterops   vellalavella    Vellalavella White-eye       Vellalavellaglasögonfågel
 8237   Zosterops   luteirostris    Gizo White-eye               Gizoglasögonfågel
 8238   Zosterops   splendidus      Ganonga White-eye            Ganongaglasögonfågel
 8239   Zosterops   murphyi         Hermit White-eye             Eremitglasögonfågel
 8240   Zosterops   stresemanni     Malaita White-eye            Malaitaglasögonfågel
 8241   Zosterops   sanctaecrucis   Santa Cruz White-eye         Santa Cruzglasögonfågel
 8242   Zosterops   samoensis       Samoan White-eye             Samoaglasögonfågel
 8243   Zosterops   explorator      Layard's White-eye           Fijiglasögonfågel
 8244   Zosterops   flavifrons      Yellow-fronted White-eye     Vanuatuglasögonfågel
 8245   Zosterops   minutus         Small Lifou White-eye        Mindre Lifouglasögonfågel
 8246   Zosterops   xanthochroa     Green-backed White-eye       Nya Kaledonienglasögonfågel
 8247   Zosterops   lateralis       Silvereye                    Gråryggad glasögonfågel
 8248   Zosterops   tephropleurus   Lord Howe Island White-eye   Lord Howeglasögonfågel
 8249   Zosterops tenuirostris      Slender-billed White-eye    Smalnäbbad glasögonfågel
 8250   Zosterops albogularis       White-chested White-eye     Vitbröstad paradisfågel
 8251   Zosterops inornatus         Large Lifou White-eye       Större Lifouglasögonfågel
 8252   Zosterops cinereus          Grey-brown White-eye        Grå glasögonfågel
 8253   Zosterops finschii          Dusky White-eye             Mörk glasögonfågel
 8254   Zosterops abyssinicus       Abyssinian White-eye        Abessinsk glasögonfågel
 8255   Zosterops pallidus          Orange River White-eye      Kapglasögonfågel
 8256   Zosterops senegalensis      African Yellow White-eye    Afrikansk gul glasögonfågel
 8257   Zosterops poliogastrus      Montane White-eye           Höglandsglasögonfågel
 8258   Zosterops kulalensis        Kulal White-eye             Kulalglasögonfågel
 8259   Zosterops winifredae        South Pare White-eye        Pareglasögonfågel
