Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
  403   Pternistis clappertoni        Clapperton's Francolin        Clappertons frankolin
  404   Pternistis harwoodi           Harwood's Francolin           Harwoods frankolin
  405   Pternistis adspersus          Red-billed Francolin          Rödnäbbad frankolin
  406   Pternistis capensis           Cape Francolin                Kapfrankolin
  407   Pternistis natalensis         Natal Francolin               Natalfrankolin
  408   Pternistis hildebrandti       Hildebrandt's Francolin       Hildebrandts frankolin
  409   Pternistis squamatus          Scaly Francolin               Fjällig frankolin
  410   Pternistis ahantensis         Ahanta Francolin              Ahantafrankolin
  411   Pternistis griseostriatus     Grey-striped Francolin        Gråstrimmig frankolin
  412   Pternistis leucoscepus        Yellow-necked Francolin       Gulstrupig frankolin
  413   Pternistis rufopictus         Grey-breasted Francolin       Viktoriafrankolin
  414   Pternistis afer               Red-necked Francolin          Vitfläckig frankolin
  415   Pternistis swainsonii         Swainson's Francolin          Swainsons frankolin
  416   Pternistis jacksoni           Jackson's Francolin           Jacksons frankolin
  417   Pternistis nobilis            Handsome Francolin            Rostbukad frankolin
  418   Pternistis camerunensis       Cameroon Mountain Francolin   Kamerunfrankolin
  419   Pternistis swierstrai         Swierstra's Francolin         Swierstras frankolin
  420   Pternistis castaneicollis     Chestnut-naped Francolin      Rostkindad frankolin
  421   Pternistis erckelii           Erckel's Francolin            Erckels frankolin
  422   Pternistis ochropectus        Djibouti Francolin            Djiboutifrankolin
  423   Perdix perdix                 Grey Partridge                Rapphöna
  424   Perdix dauurica               Daurian Partridge             Stäpprapphöna
  425   Perdix hodgsoniae             Tibetan Partridge             Tibetrapphöna
  426   Rhizothera longirostris       Long-billed Wood-partridge    Långnäbbad skogshöna
  427   Rhizothera dulitensis         Hose's Wood-partridge         Hoses skogshöna
  428   Margaroperdix madagarensis   Madagascar Partridge             Madagaskarrapphöna
  429   Melanoperdix niger           Black Wood-partridge             Svart skogshöna
  430   Coturnix coturnix            Common Quail                     Vaktel
  431   Coturnix japonica            Japanese Quail                   Japansk vaktel
