                             Struthionidae, Strutsar
Bonasa sewerzowi             Chinese Grouse               Kinajärpe
Bonasa bonasia               Hazel Grouse                 Järpe
Bonasa umbellus              Ruffed Grouse                Kragjärpe
Centrocercus urophasianus    Greater Sage-Grouse          Strålstjärtshöna
Centrocercus minimus         Gunnison Sage-Grouse         Mindre prärieorre
Tympanuchus phasianellus     Sharp-tailed Grouse          Spetsstjärtad präriehöna
Tympanuchus cupido           Greater Prairie-chicken      Större präriehöna
Tympanuchus pallidicinctus   Lesser Prairie-chicken       Mindre präriehöna
                           Odontophoridae, Tofsvaktlar
Dendrortyx barbatus        Bearded Wood-Partridge         Rostbröstad skogshöna
Dendrortyx macroura        Long-tailed Wood-Partridge     Långstjärtad skogshöna
Dendrortyx leucophrys      Buffy-crowned Wood-Partridge   Vitpannad skogshöna
Oreortyx pictus            Mountain Quail                 Bergtofsvaktel
Callipepla squamata        Scaled Quail                   Fjällig tofsvaktel
Callipepla californica     California Quail               Kalifornisk tofsvaktel
Callipepla gambelii        Gambel's Quail                 Ökentofsvaktel
Callipepla douglasii       Elegant Quail                  Prakttofsvaktel
Philortyx fasciatus        Banded Quail                   Bandvaktel
Colinus virginianus        Northern Bobwhite              Vitstrupig vaktel
Colinus nigrogularis       Black-throated Bobwhite        Svartstrupig vaktel
Colinus leucopogon         Spot-bellied Bobwhite          Fläckbukad vaktel
Colinus cristatus          Crested Bobwhite               Kronvaktel
Odontophorus gujanensis    Marbled Wood-Quail             Marmorvaktel
Odontophorus capueira      Spot-winged Wood-Quail         Fläckvingad marmorvaktel
Odontophorus erythrops     Rufous-fronted Wood-Quail      Rödpannad marmorvaktel
Odontophorus melanotis     Black-eared Wood-Quail         Svartstrupig marmorvaktel
Odontophorus atrifrons     Black-fronted Wood-Quail       Svartpannad marmorvaktel
Odontophorus melanonotus   Dark-backed Wood-Quail         Mörkryggad marmorvaktel
Odontophorus hyperythrus   Chestnut Wood-Quail            Svartfläckig marmorvaktel
Odontophorus speciosus     Rufous-breasted Wood-Quail     Rödbröstad marmorvaktel
Odontophorus strophium     Gorgeted Wood-Quail            Colombiansk marmorvaktel
Odontophorus dialeucos     Tacarcuna Wood-Quail           Svartkronad marmorvaktel
Odontophorus columbianus   Venezuelan Wood-Quail          Venezuelamarmorvaktel
Odontophorus leucolaemus   Black-breasted Wood-Quail      Vitstrupig marmorvaktel
Odontophorus balliviani    Stripe-faced Wood-Quail        Strimhuvad marmorvaktel
Odontophorus stellatus     Starred Wood-Quail             Stjärnmarmorvaktel
Odontophorus guttatus      Spotted Wood-Quail             Fläckig marmorvaktel
Dactylortyx thoracicus     Singing Quail                  Sångvaktel
Cyrtonyx montezumae        Montezuma Quail                Montezumavaktel
Cyrtonyx ocellatus         Ocellated Quail                Glasögonvaktel
Rhynchortyx cinctus        Tawny-faced Quail              Orangekindad vaktel
                            Phasianidae, Fasanfåglar
Lerwa lerwa                 Snow Partridge                Sherpahöna
Ammoperdix griseogularis    See-see Partridge             Visselhöna
Ammoperdix heyi             Sand Partridge                Ökenhöna
Tetraogallus caucasicus     Caucasian Snowcock            Kaukasisk snöhöna
Tetraogallus caspius        Caspian Snowcock              Kaspisk snöhöna
Tetraogallus tibetanus      Tibetan Snowcock              Tibetsnöhöna
Tetraogallus altaicus       Altai Snowcock                Altaisnöhöna
Tetraogallus himalayensis   Himalayan Snowcock            Himalayasnöhöna
Tetraophasis obscurus       Verreaux's Monal Partridge    Brunstrupig kungshöna
Tetraophasis szechenyii     Széchenyi's Monal Partridge   Gulstrupig kungshöna
Alectoris graeca            Rock Partridge                Stenhöna
Alectoris chukar            Chukar Partridge              Berghöna
Alectoris magna             Rusty-necklaced Partridge     Lössberghöna
Alectoris philbyi           Philby's Rock Partridge       Svartstrupig berghöna
Alectoris barbara           Barbary Partridge             Klipphöna
Alectoris rufa              Red-legged Partridge          Rödhöna
Alectoris melanocephala     Arabian Partridge             Arabisk rödhöna
Anurophasis monorthonyx     Snow Mountain Quail           Iriansk berghöna
Francolinus francolinus     Black Francolin               Svart frankolin
Francolinus pictus          Painted Francolin             Drottfläckig frankolin obs
Francolinus pintadeanus     Chinese Francolin             Kinesisk frankolin
Francolinus pondicerianus   Grey Francolin                Grå frankolin
Francolinus gularis         Swamp Francolin               Kärrfrankolin
Peliperdix coqui            Coqui Francolin               Coquifrankolin
Peliperdix albogularis      White-throated Francolin      Vitstrupig frankolin
Peliperdix schlegelii       Schlegel's Francolin          Schlegels frankolin
Peliperdix lathami          Forest Francolin              Skogsfrankolin
Peliperdix sephaena         Crested Francolin             Tofsfrankolin
Scleroptila streptophorus   Ring-necked Francolin         Halsbandsfrankolin
Scleroptila finschi         Finsch's Francolin            Finschs frankolin
Scleroptila levaillantii    Red-winged Francolin          Rödvingad frankolin
Scleroptila afra            Grey-winged Francolin         Gråvingad frankolin
Scleroptila psilolaemus       Moorland Francolin            Etiopisk frankolin
Scleroptila shelleyi          Shelley's Francolin           Shelleys frankolin
Scleroptila levaillantoides   Orange River Francolin        Cunenefrankolin
Scleroptila gutturalis        Archer's Francolin            Archers frankolin
Pternistis nahani             Nahan's Francolin             Nahanifrankolin
Pternistis hartlaubi          Hartlaub's Francolin          Hartlaubs frankolin
Pternistis bicalcaratus       Double-spurred Francolin      Marockansk frankolin
Pternistis icterorhynchus     Heuglin's Francolin           Gulnäbbad frankolin
Pternistis clappertoni        Clapperton's Francolin        Clappertons frankolin
Pternistis harwoodi           Harwood's Francolin           Harwoods frankolin
Pternistis adspersus          Red-billed Francolin          Rödnäbbad frankolin
Pternistis capensis           Cape Francolin                Kapfrankolin
Pternistis natalensis         Natal Francolin               Natalfrankolin
Pternistis hildebrandti       Hildebrandt's Francolin       Hildebrandts frankolin
Pternistis squamatus          Scaly Francolin               Fjällig frankolin
Pternistis ahantensis         Ahanta Francolin              Ahantafrankolin
Pternistis griseostriatus     Grey-striped Francolin        Gråstrimmig frankolin
Pternistis leucoscepus        Yellow-necked Francolin       Gulstrupig frankolin
Pternistis rufopictus         Grey-breasted Francolin       Viktoriafrankolin
Pternistis afer               Red-necked Francolin          Vitfläckig frankolin
Pternistis swainsonii         Swainson's Francolin          Swainsons frankolin
Pternistis jacksoni           Jackson's Francolin           Jacksons frankolin
Pternistis nobilis            Handsome Francolin            Rostbukad frankolin
Pternistis camerunensis       Cameroon Mountain Francolin   Kamerunfrankolin
Pternistis swierstrai         Swierstra's Francolin         Swierstras frankolin
Pternistis castaneicollis     Chestnut-naped Francolin      Rostkindad frankolin
Pternistis erckelii           Erckel's Francolin            Erckels frankolin
Pternistis ochropectus        Djibouti Francolin            Djiboutifrankolin
Perdix perdix                 Grey Partridge                Rapphöna
Perdix dauurica               Daurian Partridge             Stäpprapphöna
Perdix hodgsoniae             Tibetan Partridge             Tibetrapphöna
Rhizothera longirostris       Long-billed Wood-partridge    Långnäbbad skogshöna
Rhizothera dulitensis         Hose's Wood-partridge         Hoses skogshöna
Margaroperdix madagarensis   Madagascar Partridge             Madagaskarrapphöna
Melanoperdix niger           Black Wood-partridge             Svart skogshöna
Coturnix coturnix            Common Quail                     Vaktel
Coturnix japonica            Japanese Quail                   Japansk vaktel
Coturnix coromandelica       Black-breasted Quail             Svartbröstad vaktel
Coturnix delegorguei         Harlequin Quail                  Harlekinvaktel
Coturnix pectoralis          Stubble Quail                    Stäppvaktel
Coturnix ypsilophora         Brown Quail                      Brun vaktel
Coturnix adansonii           Blue Quail                       Blå dvärgvaktel
Coturnix chinensis           Blue-breasted Quail              Kinesisk dvärgvaktel
Perdicula asiatica           Jungle Bush-Quail                Djungelbuskvaktel
Perdicula argoondah          Rock Bush-Quail                  Klippbuskvaktel
Perdicula erythrorhyncha     Painted Bush-Quail               Rödnäbbad buskvaktel
Perdicula manipurensis       Manipur Bush-Quail               Manipurbuskvaktel
Arborophila torqueola        Common Hill-Partridge            Brunkronad sånghöna
Arborophila rufogularis      Rufous-throated Hill-Partridge   Roststrupig sånghöna
Arborophila atrogularis      White-cheeked Hill-Partridge     Vitkindad sånghöna
Arborophila crudigularis     Taiwan Partridge                 Taiwansånghöna
Arborophila mandellii        Red-breasted Hill-Partridge      Sikkimsånghöna
Arborophila brunneopectus    Brown-breasted Hill-Partridge    Brunbröstad sånghöna
Arborophila rufipectus       Sichuan Hill-Partridge           Sichuansånghöna
Arborophila gingica          Rickett's Hill-Partridge         Ricketts sånghöna
Arborophila davidi           Orange-necked Hill-Partridge     Davídsånghöna
Arborophila cambodiana       Chestnut-headed Hill-Partridge   Kambodjasånghöna
Arborophila orientalis       White-faced Hill-Partridge       Vitmaskad sånghöna
Arborophila campbelli        Malaysian Hill-Partridge         Malajsånghöna
Arborophila sumatrana        Sumatran Partridge               Sumatrasånghöna
Arborophila javanica         Javan Hill-Partridge             Javasånghöna
Arborophila rubrirostris     Red-billed Hill-Partridge        Rödnäbbad sånghöna
Arborophila hyperythra       Borneo Hill-Partridge            Borneosånghöna
Arborophila ardens           Hainan Hill-Partridge            Hainansånghöna
Arborophila charltonii       Chestnut-necklaced Partridge     Charltonsånghöna
Arborophila chloropus        Green-legged Hill-Partridge      Grönbent sånghöna
Arborophila merlini        Annamese Hill-Partridge         Annamsånghöna
Arborophila rolli          Roll's Partridge                Rolls sånghöna
Xenoperdix udzungwensis    Udzungwa Forest Partridge       Udzungwahöna
Caloperdix oculeus         Ferruginous Wood-Partridge      Rostskogshöna
Haematortyx sanguiniceps   Crimson-headed Wood-Partridge   Rödhuvad skogshöna
Rollulus rouloul           Crested Wood-Partridge          Hjälmvaktel
Ptilopachus petrosus       Stone Partridge                 Stenvaktel
Bambusicola fytchii        Mountain Bamboo-Partridge       Vitbrynad bambuhöna
Bambusicola thoracicus     Chinese Bamboo-Partridge        Kinesisk bambuhöna
Galloperdix spadicea       Red Spurfowl                    Röd sporrhöna
Galloperdix lunulata       Painted Spurfowl                Broksporrhöna
